term_id,term_str,n,num,stop,p_stem
0,,50493,0,0,
1,0,2,1,0,0
2,1,18,1,0,1
3,10,6,1,0,10
4,100,2,1,0,100
5,1000,2,1,0,1000
6,10000,3,1,0,10000
7,1000000,1,1,0,1000000
8,10000000,1,1,0,10000000
9,10440,1,1,0,10440
10,10800,2,1,0,10800
11,10th,2,1,0,10th
12,11000000,1,1,0,11000000
13,118952,1,1,0,118952
14,11th,2,1,0,11th
15,12,5,1,0,12
16,120000,1,1,0,120000
17,125000,1,1,0,125000
18,12th,1,1,0,12th
19,13,1,1,0,13
20,13000,1,1,0,13000
21,139,2,1,0,139
22,1399,1,1,0,1399
23,13th,3,1,0,13th
24,140,1,1,0,140
25,144000,1,1,0,144000
26,1492,2,1,0,1492
27,14th,3,1,0,14th
28,15,2,1,0,15
29,150,1,1,0,150
30,150000,1,1,0,150000
31,1563,1,1,0,1563
32,1571,1,1,0,1571
33,1586,1,1,0,1586
34,1588,1,1,0,1588
35,1595,1,1,0,1595
36,15th,5,1,0,15th
37,16,1,1,0,16
38,1613,1,1,0,1613
39,1652,1,1,0,1652
40,1668,1,1,0,1668
41,1670,1,1,0,1670
42,1671,2,1,0,1671
43,1681,1,1,0,1681
44,1684,1,1,0,1684
45,1688,1,1,0,1688
46,1690,1,1,0,1690
47,1695,1,1,0,1695
48,16th,3,1,0,16th
49,17,2,1,0,17
50,1710,1,1,0,1710
51,1726,1,1,0,1726
52,1729,1,1,0,1729
53,1736,1,1,0,1736
54,1750,2,1,0,1750
55,1755,1,1,0,1755
56,1760,1,1,0,1760
57,1768,1,1,0,1768
58,1769,1,1,0,1769
59,1772,2,1,0,1772
60,1774,1,1,0,1774
61,1775,4,1,0,1775
62,1776,2,1,0,1776
63,1777,1,1,0,1777
64,1778,2,1,0,1778
65,1779,1,1,0,1779
66,1782,2,1,0,1782
67,1784,1,1,0,1784
68,1785,1,1,0,1785
69,1787,1,1,0,1787
70,1788,2,1,0,1788
71,1789,1,1,0,1789
72,1790,1,1,0,1790
73,1791,4,1,0,1791
74,1792,1,1,0,1792
75,1793,2,1,0,1793
76,1798,3,1,0,1798
77,18,2,1,0,18
78,180,2,1,0,180
79,1800,5,1,0,1800
80,1803,3,1,0,1803
81,1806,1,1,0,1806
82,1807,2,1,0,1807
83,1808,3,1,0,1808
84,1810,1,1,0,1810
85,1812,5,1,0,1812
86,1813,4,1,0,1813
87,1814,3,1,0,1814
88,1817,1,1,0,1817
89,1819,1,1,0,1819
90,1820,2,1,0,1820
91,1821,2,1,0,1821
92,1822,2,1,0,1822
93,1824,1,1,0,1824
94,1825,2,1,0,1825
95,1826,1,1,0,1826
96,1827,2,1,0,1827
97,1828,2,1,0,1828
98,1833,1,1,0,1833
99,1834,1,1,0,1834
100,1835,2,1,0,1835
101,1836,3,1,0,1836
102,1839,3,1,0,1839
103,184,1,1,0,184
104,1840,1,1,0,1840
105,1842,3,1,0,1842
106,1846,2,1,0,1846
107,1849,1,1,0,1849
108,1850,2,1,0,1850
109,1851,2,1,0,1851
110,18mo,1,1,0,18mo
111,18th,3,1,0,18th
112,1st,12,1,0,1st
113,2,14,1,0,2
114,20,5,1,0,20
115,200,1,1,0,200
116,2000,2,1,0,2000
117,20000,2,1,0,20000
118,200000,3,1,0,200000
119,20000000,1,1,0,20000000
120,200th,1,1,0,200th
121,20th,6,1,0,20th
122,21,1,1,0,21
123,2110,1,1,0,2110
124,213,1,1,0,213
